request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000.0,2025-08-03,none,Pay IDR 15656000.0 today; this leaves at least IDR 24768300.0 available over the next 90 days.
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670.0,2026-07-05,none,Pay ZAR 6670.0 today; this leaves at least ZAR 20500.0 available over the next 90 days.
request_28,0.0,not_affordable,not_recommended,none,,none,Not recommended: paying EUR 1302.4 would breach the EUR 1100.0 minimum balance throughout the 90-day forecast.
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524.0,2025-11-04,none,Pay ZAR 51524.0 today; this leaves at least ZAR 28300.0 available over the next 90 days.
request_30,394.82,not_affordable,not_recommended,none,2026-07-05,none,Not recommended: paying USD 775.2 would breach the USD 900.0 minimum balance throughout the 90-day forecast.
request_31,3540169.43,affordable_later,wait,2024-11-15:18164000.0,2024-11-15,none,Paying IDR 18164000.0 today would breach the minimum; wait until 2024-11-15 when the full amount is safe.
request_32,16884.23,affordable_later,wait,2025-04-15:40018.0,2025-04-15,none,Paying ZAR 40018.0 today would breach the minimum; wait until 2025-04-15 when the full amount is safe.
request_33,36243.47,affordable_later,wait,2026-03-15:118000.0,2026-03-15,none,Paying INR 118000.0 today would breach the minimum; wait until 2026-03-15 when the full amount is safe.
request_34,91526.3,not_affordable,not_recommended,none,2025-03-04,none,Not recommended: paying INR 129400.0 would breach the INR 138500.0 minimum balance throughout the 90-day forecast.
request_35,29890.88,affordable_later,wait,2026-01-15:212000.0,2026-01-15,none,Paying INR 212000.0 today would breach the minimum; wait until 2026-01-15 when the full amount is safe.
request_36,569.85,not_affordable,not_recommended,none,2026-10-01,none,Not recommended: paying USD 3954.0 would breach the USD 2400.0 minimum balance throughout the 90-day forecast.
request_37,0.0,not_affordable,not_recommended,none,,none,Not recommended: paying IDR 14649000.0 would breach the IDR 17056200.0 minimum balance throughout the 90-day forecast.
request_38,204.59,not_affordable,not_recommended,none,2025-10-20,none,Not recommended: paying EUR 971.3 would breach the EUR 400.0 minimum balance throughout the 90-day forecast.
request_39,134768.27,affordable_later,wait,2026-06-15:208600.0,2026-06-15,none,Paying INR 208600.0 today would breach the minimum; wait until 2026-06-15 when the full amount is safe.
request_40,353.0,affordable_later,wait,2024-08-15:1290.3,2024-08-15,none,Paying EUR 1290.3 today would breach the minimum; wait until 2024-08-15 when the full amount is safe.
request_41,9283160.52,affordable_later,wait,2026-01-15:38760000.0,2026-01-15,none,Paying IDR 38760000.0 today would breach the minimum; wait until 2026-01-15 when the full amount is safe.
request_42,0.0,not_affordable,not_recommended,none,,none,Not recommended: paying INR 52100.0 would breach the INR 113100.0 minimum balance throughout the 90-day forecast.
request_43,8424517.21,affordable_later,wait,2024-11-15:43339000.0,2024-11-15,none,Paying IDR 43339000.0 today would breach the minimum; wait until 2024-11-15 when the full amount is safe.
request_44,30610.14,affordable_later,wait,2025-04-15:95800.0,2025-04-15,none,Paying INR 95800.0 today would breach the minimum; wait until 2025-04-15 when the full amount is safe.
request_45,4624146.43,not_affordable,not_recommended,none,2026-10-04,none,Not recommended: paying IDR 21983000.0 would breach the IDR 11149800.0 minimum balance throughout the 90-day forecast.
request_46,49450.0,affordable_with_plan,installments,2024-12-03:25714.0|2024-12-31:25714.0,2024-12-03,none,Use 2 installments of INR 25714.0; this keeps the balance safe throughout.
request_47,3629104.86,not_affordable,not_recommended,none,2025-08-03,none,Not recommended: paying IDR 38114000.0 would breach the IDR 30049000.0 minimum balance throughout the 90-day forecast.
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700.0,2026-07-25,none,Pay INR 45700.0 today; this leaves at least INR 71300.0 available over the next 90 days.
request_49,12761954.76,not_affordable,not_recommended,none,2024-05-15,none,Not recommended: paying IDR 34333000.0 would breach the IDR 20275700.0 minimum balance throughout the 90-day forecast.
request_50,0.0,not_affordable,not_recommended,none,,none,Not recommended: paying INR 43900.0 would breach the INR 99700.0 minimum balance throughout the 90-day forecast.
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000.0,2026-01-03,none,Pay IDR 2191000.0 today; this leaves at least IDR 7811000.0 available over the next 90 days.
request_52,23650.9,affordable_later,wait,2024-06-15:28870.0,2024-06-15,none,Paying INR 28870.0 today would breach the minimum; wait until 2024-06-15 when the full amount is safe.
request_53,471.07,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,Use 3 installments of USD 589.06; this keeps the balance safe throughout.
request_54,5577.37,not_affordable,not_recommended,none,2026-10-02,none,Not recommended: paying ZAR 121528.0 would breach the ZAR 37000.0 minimum balance throughout the 90-day forecast.
